ID,Title,Company,Location,Date Posted
Analyst,IT Business Analyst,Boston Scientific Corporation,Cross River,PostedPosted 4 days ago
Analyst,Finance & International Analyst,ServeLead Global,Lagos,PostedPosted 1 day ago
Analyst,Business Analyst,Wise Soft Lab,Nigeria,PostedPosted 30+ days ago
Analyst,Junior Corporate Finance Analyst,The Impeccable Skills Company,Lagos,PostedToday
Analyst,Logistics Analyst,NoemDek,Lagos,PostedPosted 30+ days ago
Analyst,Reporting Analyst Job in Lagos,Lagos State,Lagos,PostedPosted 14 days ago
Analyst,Project Management Analyst,Main One,Lagos,PostedPosted 30+ days ago
Analyst,Financial Analyst,Global PFI,Lagos,PostedPosted 30+ days ago
Analyst,Business Analyst,Helium Health,Lagos,PostedPosted 30+ days ago
Analyst,Operations Analyst,NoemDek,Lagos,PostedPosted 30+ days ago
Analyst,Business Analyst (PMO),LEAD Enterprise Support Company Limited,Lagos,PostedPosted 5 days ago
Analyst,Analyst II Financial,Boston Scientific Corporation,Cross River,PostedPosted 5 days ago
Analyst,Financial Analyst (Madison & Park),NoemDek,Lagos,PostedPosted 30+ days ago
Analyst,Analyst - Revenue Assurance and Fraud.Finance,MTN,Benin City,PostedPosted 4 days ago
Analyst,IT Support Analyst-Financial Services,Planet Governance Advisory Limited,Lagos,PostedPosted 30+ days ago
Analyst,Debt Capital Markets Analyst,Standard Bank,Lagos,PostedJust posted
Analyst,Business Intelligence Analyst,Palmpay Limited,Lagos,PostedPosted 1 day ago
Analyst,Credit Control Analyst (Contract),Main One,Lagos,PostedPosted 30+ days ago
Analyst,Internal Audit and Risk Management Analyst,Main One,Lagos,PostedPosted 30+ days ago
Analyst,Supply Chain Logistics Analyst,Talent Hackers,Nigeria,PostedPosted 29 days ago
Analyst,Senior Digital Business Analyst,Beiersdorf,Nigeria,PostedPosted 30+ days ago
Analyst,Quality Assurance Analyst,ByteWorks,Abuja,PostedPosted 30+ days ago
Analyst,Pricing Analyst,JMG,Lagos,PostedPosted 30+ days ago
Analyst,Retail Sales Analyst (Asset Mgmt),SENCE,Lagos,PostedPosted 30+ days ago
Analyst,Financial Market Analyst,TMG Consulting,Kano,PostedPosted 7 days ago
Analyst,"Analyst, Business Development, Stanbic IBTC Pension Managers",Standard Bank,Lagos,PostedPosted 1 day ago
Analyst,Sales Order Analyst,Rotic Aluminium,Anambra,PostedPosted 22 days ago
Analyst,Credit Risk Analyst,TreeTop Consulting,Abuja,PostedPosted 30+ days ago
Analyst,Senior Business Analyst,DBH Solutions,Lagos,PostedPosted 19 days ago
Analyst,Credit Analyst,Jubilee-Life Mortgage Bank,Lagos,PostedPosted 30+ days ago
Analyst,IT Business Analyst and Researcher,Oasis Management Company Ltd,Abuja,PostedPosted 30+ days ago
Analyst,Supplier Intelligence Analyst,Eldotec,Kebbi,PostedPosted 30+ days ago
Analyst,Data Center Service Analyst,Main One,Lagos,PostedPosted 21 days ago
Analyst,Market Analyst,Life Solution Nigeria Limited,Lagos,PostedPosted 30+ days ago
Analyst,"Finance Business Analyst, DCT",Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
Analyst,Credit Risk Analyst,Jobberman (Third Party Recruitment),Lagos,PostedPosted 12 days ago
Analyst,Project Analyst III - Project & Portfolio Management Coyol,Boston Scientific Corporation,Cross River,PostedPosted 27 days ago
Analyst,Finance Analyst,ANGALA FINANCIAL TECHNOLOGIES LIMITED,Lagos,PostedPosted 30+ days ago
Analyst,Legal Analyst,NASD,Lagos,PostedPosted 30+ days ago
Analyst,Account Based Marketing Analyst,AltexSoft,Nigeria,PostedPosted 30+ days ago
Analyst,Sr Financial Analyst,Trustwave,Plateau,PostedPosted 30+ days ago
Analyst,Senior Analyst,Kedari Capital,Lagos,PostedPosted 30+ days ago
Analyst,Senior Data Analyst,The Aurum Institute,Zamfara,PostedPosted 6 days ago
Analyst,"Analyst, Management Accountant",TETRACORE ENERGY LTD.,Lagos,PostedPosted 16 days ago
Analyst,Business Continuity Management Analyst,Main One,Lagos,PostedPosted 30+ days ago
Analyst,Credit Analyst,Jobberman (Third Party Recruitment),Lagos,PostedPosted 30+ days ago
Analyst,Instructional Design Analyst,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
Analyst,Geographic information systems (GIS) analysts,Jhpiego,Abuja,PostedPosted 6 days ago
Analyst,Senior Data Analyst,MIM Finance Company,Lagos,PostedPosted 30+ days ago
Analyst,Internal Control Analyst,Afrinvest,Lagos,PostedPosted 6 days ago
Analyst,"Lead, Commercial Data Analyst",Lafarge,Nigeria,PostedPosted 30+ days ago
Analyst,Business Analyst/Project Manager,Payraty,Lagos,PostedPosted 30+ days ago
Analyst,Risk Analyst - Vendor Risk and Compliance,OnePyramid Consulting Ltd,Nigeria,PostedPosted 6 days ago
Analyst,Senior Credit analyst,TechnoServe,Nigeria,PostedPosted 30+ days ago
Analyst,Analyst - Technology Compliance and Analytics.Risk and Compliance,MTN Group,Lagos,PostedPosted 19 days ago
Analyst,Open Source Intelligence (OSINT) Analyst - Anti-Piracy Investigator,Netwelve LLC,Nigeria,PostedPosted 30+ days ago
Analyst,Sr. Finance Analyst - Nigeria,Glovo,Lagos,PostedPosted 30+ days ago
Analyst,Financial Planning & Analysis (FP&A) Analyst,Design Union Limited,Lagos,PostedPosted 7 days ago
Analyst,Communications Senior Analyst,Helium Health,Lagos,PostedPosted 30+ days ago
Analyst,erpSOFTapp Recruitment for Intern Technical Analyst,erpSOFTapp,Lagos,PostedPosted 6 days ago
Analyst,Project Analyst (Bid & Tender Analyst),KolCho Analytica,Lagos,PostedPosted 13 days ago
Analyst,Lusophone Analyst - Financial Services Strategy,Genesis,Zamfara,PostedPosted 23 days ago
Analyst,Actuary Risk Analyst,AIICO Insurance,Lagos,PostedPosted 30+ days ago
Analyst,"Analyst, Business Development, Stanbic IBTC Pension Managers",Standard Bank Group,Lagos,PostedPosted 1 day ago
Analyst,Analyst - Sponsorship.Marketing NG,MTN Group,Lagos,PostedPosted 6 days ago
Analyst,Sourcing Analyst,Gloopro,Lekki,PostedPosted 30+ days ago
Analyst,Channel Sales Executive - Senior Analyst,Cordros Capital Limited,Abuja,PostedPosted 30+ days ago
Analyst,Retail Sales Analyst,SENCE,Lagos,PostedPosted 30+ days ago
Analyst,AR Junior Analyst with French,Wella Company,Plateau,PostedPosted 30+ days ago
Analyst,Financial Analyst Intern (Nigeria-Remote),Token Metrics,Nigeria,PostedPosted 30+ days ago
Analyst,Business Analyst (Nigeria-Remote),Token Metrics,Nigeria,PostedPosted 30+ days ago
Analyst,Transaction Monitoring Analyst,Binance,Nigeria,PostedPosted 30+ days ago
Analyst,Data Analyst,oraimo smart accessories,Port Harcourt,PostedToday
Analyst,DATA ANALYST/REPORTING EXECUTIVE,Ascentech Services Ltd,Lagos,EmployerActive 7 days ago
Analyst,Impact Investment Analyst,Sawubona Advisory Services,Lagos,EmployerActive 2 days ago
Analyst,BI Integrator Data Analyst,eMedic Technologies Inc.,Lagos,EmployerActive 2 days ago
Analyst,Business Analyst,BANK OF INDUSTRY (BOI),Lagos,EmployerActive 21 days ago
Analyst,Financial Analyst,BuyPower,Abuja,PostedPosted 30+ days ago
Analyst,Business Analyst,Resourcing.ng,Abuja,EmployerActive 2 days ago
Analyst,Risk Analyst – RALA2401,DelonJobs,Lagos,PostedPosted 1 day ago
Analyst,Financial Analyst Associate I,Herbal Goodness,Abuja,PostedToday
Analyst,Data Analyst & Power BI Developer,Leatherback,Lagos,PostedPosted 29 days ago
Analyst,Business Analyst,IPNX NIGERIA LIMITED,Lagos,PostedPosted 1 day ago
Analyst,Treasury Analyst,Kimberly Ryan Limited,Lagos,EmployerActive 2 days ago
Analyst,Data Analyst,Multipro Consumer Products Limited,Oyo,EmployerActive 3 days ago
Analyst,Business Analyst,Grand Oak Limited,Lagos,EmployerActive 2 days ago
Analyst,"Analyst, Investment Banking",Human Resource Specialists (Nigeria),Lagos,PostedPosted 30+ days ago
Analyst,Revenue Assurance Analyst,Quidax,Nigeria,PostedPosted 30+ days ago
Analyst,Management Analyst,Akinkunbi Nigeria Limited,Lagos,EmployerActive 4 days ago
Analyst,BUSINESS ANALYST,Work In Nigeria Recruitment Agency,Lagos,EmployerActive 29 days ago
Analyst,Fraud Analyst,Moniepoint,Lagos,PostedPosted 30+ days ago
Analyst,JUNIOR SOC ANALYST,GVA Partners,Lagos,EmployerActive 2 days ago
Analyst,PRIMARY MARKET ANALYST,TERAWORK,Lagos,EmployerActive 15 days ago
Analyst,Private Equity Analyst,Maurice Xandra Solutions Limited,Lagos,EmployerActive 2 days ago
Analyst,SAP EAM/PM Analyst,Vantegral Consulting,Port Harcourt,EmployerActive 2 days ago
Analyst,"Analyst, Depot Operations",IHS Towers,Lagos,PostedJust posted
Analyst,Business Operations Analyst,The Concept Group,Lagos,EmployerActive 5 days ago
Analyst,Structured Finance Analyst,Eclat Human Resource Consulting Limited.,Abuja,EmployerActive 2 days ago
Analyst,Investment Research Analyst,Maurice Xandra Solutions Limited,Lagos,EmployerActive 2 days ago
Analyst,Senior Data Analyst,Bridgemead Consulting,Lagos,EmployerActive 2 days ago
Analyst,Budget Performance Analyst,TERAWORK,Lagos,EmployerActive 2 days ago
Analyst,"Analyst, Retail Operations",Outsource Global Technology Limited,Lagos,EmployerActive 8 days ago
Analyst,Communications Analyst,Paga,Yaba,PostedPosted 1 day ago
Analyst,Business Process Analyst,The Concept Group,Lagos,EmployerActive 5 days ago
Analyst,Database Administrator - Litigation Data Analyst,KIMERIC NIGERIA LIMITED,Lagos,EmployerActive 2 days ago
Analyst,Investment Analyst - Project Finance,HR-EX Consulting,Lagos,EmployerActive 9 days ago
Analyst,IT Software Business Analyst / Project Manager,DLHO Solutions,Abuja,EmployerActive 2 days ago
Analyst,Portfolio Risk Analyst,The Concept Group,Lagos,EmployerActive 5 days ago
Analyst,SOC ANALYST,GVA Partners,Lagos,PostedPosted 1 day ago
Analyst,Business Analyst,Halogen Group,Ikeja,EmployerActive 19 days ago
Analyst,Senior Sales Data Analyst,IPNX NIGERIA LIMITED,Abuja,EmployerActive 26 days ago
Analyst,Research and Consulting Analyst,Sawubona Advisory Services,Lagos,EmployerActive 9 days ago
Analyst,Financial Analyst,TSL Metroline Limited,Lagos,EmployerActive 2 days ago
Analyst,"Reliance Customer Care Operations Analyst, Nigeria.",Reliance Health,Lagos,PostedToday
Analyst,Senior Data Analyst,The Concept Group,Lagos,EmployerActive 5 days ago
Analyst,Compensation and Benefits Analyst,Amy Consulting,Lagos,PostedPosted 15 days ago
Analyst,BUSINESS ANALYST / FINANCIAL PLANNE,Lorache Consulting,Port Harcourt,EmployerActive 2 days ago
Analyst,RFP Analyst- Remote,Regal Business Hub,Lagos,EmployerActive 14 days ago
Analyst,Business Analyst,Leadway Pensure,Lagos,PostedPosted 30+ days ago
Analyst,Senior Financial Analyst (Writer),Nairametrics,Lagos,EmployerActive 12 days ago
Analyst,Business Analyst,Pivotage Consulting,Lagos,PostedPosted 30+ days ago
Analyst,Senior Data Analyst,mDoc Healthcare,Lagos,EmployerActive 2 days ago
Analyst,Security Analyst,Leadway Pensure,Lagos,PostedPosted 30+ days ago
Analyst,Senior Credit Analyst - Nigeria,Branch International,Lagos,PostedPosted 8 days ago
Analyst,"Quality Assurance/ Quality control Analyst (Engineers) MARYLAND,LAGOS",LEITUNG GATE LIMITED,Lagos,EmployerActive 2 days ago
Analyst,Senior Credit Analyst,Addosser Microfinance Bank Limited,Lagos,PostedPosted 30+ days ago
Analyst,FP & A Analyst,QFA NIGERIA LTD,Lagos,EmployerActive 2 days ago
Analyst,Business Strategy Analyst,Nosagie Holdings,Benin City,EmployerActive 16 days ago
Analyst,Data Analyst(Sango-ota),Ascentech Services Ltd,Shagamu,EmployerActive 5 days ago
Analyst,SENIOR SOC ANALYST,GVA Partners,Lagos,PostedPosted 2 days ago
Analyst,Business Development Executive/ Analyst,HReade Limited,Lagos,EmployerActive 2 days ago
Analyst,Category Analyst - Consumer Electronics - Jumia (Full Time),Jumia,Lagos,PostedPosted 30+ days ago
Analyst,Employee Relations Analyst,PalmPay,Lagos,EmployerActive 5 days ago
Analyst,"Analyst, Sanctions & Watchlist Compliance_Nigeria",Flutterwave,Lekki,PostedPosted 1 day ago
Analyst,"Credit Risk Analyst (Accounts Receivable) - Ibadan, Lagos, Abuja",Vendease,Ibadan,PostedPosted 30+ days ago
Analyst,Business Technical Documentation Analyst,Enov8 Solutions Limited,Lagos,EmployerActive 5 days ago
Analyst,Sourcing/ Procurement Analyst,Paymente Ltd (t/a Gloopro.com),Lekki,EmployerActive 2 days ago
Analyst,FINANCIAL ANALYST,blackcod asset management,Lekki,PostedPosted 30+ days ago
Analyst,Sales Analyst – Metal and Cables,ITH Trading Partner Ltd.,Lekki,PostedPosted 21 days ago
Analyst,"Analyst, IT Asset & Service Management",IHS Towers,Lagos,PostedPosted 30+ days ago
Analyst,Data Analyst - Growth,Kuda Technologies Ltd,Lagos,EmployerActive 3 days ago
Analyst,BI Operations Analyst,Kuda Technologies Ltd,Lagos,EmployerActive 7 days ago
Analyst,Crypto Investment Analyst (Nigeria-Remote),Token Metrics,Nigeria,PostedPosted 30+ days ago
Analyst,IT Analyst,Max Drive,Abuja,PostedPosted 30+ days ago
Analyst,Recruitment/HR Analyst,GVA Partners,Lagos,EmployerActive 2 days ago
Analyst,"REAL ESTATE CONSULTANT, SALES EXECUTIVE, MARKETING ANALYST",Frontier commercial services limited,Ikeja,EmployerActive 13 days ago
Analyst,Junior Financial Analyst,Kuda Technologies Ltd,Lagos,EmployerActive 2 days ago
Analyst,Senior Chemical Analyst,Sunrise Universal Integrated,Oyo,EmployerActive 6 days ago
Analyst,IT RECRUITMENT ANALYST,GVA Partners,Lagos,PostedPosted 5 days ago
Analyst,Fraud Analyst,Kuda Technologies Ltd,Lagos,EmployerActive 8 days ago
Analyst,Dynamics 365 Business Central Business Analyst,ITC WORLDWIDE,Lagos,PostedPosted 30+ days ago
Analyst,BI Business Analyst,Kuda Technologies Ltd,Lagos,EmployerActive 6 days ago
Analyst,Compensation and Benefits Analyst,Human Resource Specialists (Nigeria),Lagos,PostedPosted 30+ days ago
Analyst,Social Media Research Analyst And Visual and Video Editor,fisconcept,Ado-Ekiti,EmployerActive 3 days ago
Analyst,Trainee Metrology Analyst,Selfa,Ikeja,PostedPosted 30+ days ago
Analyst,"Senior, Information Security Analyst",Carbon,Lagos,PostedPosted 30+ days ago
Analyst,Crypto Quantitative Analyst (Nigeria-Remote),Token Metrics,Nigeria,PostedPosted 15 days ago
Analyst,Information Systems Control Analyst,Kuda Technologies Ltd,Lagos,EmployerActive 9 days ago
Analyst,Senior Commercial Analyst - Jumia (Full Time),Jumia,Lagos,PostedPosted 30+ days ago
Analyst,"Senior Analyst, Data Architecture",DelonJobs,Lagos,EmployerActive 2 days ago
Analyst,Sales Data Analyst,IPNX NIGERIA LIMITED,Abuja,EmployerActive 26 days ago
Analyst,Driver Welfare Analyst,Max Drive,Onitsha,PostedPosted 16 days ago
Analyst,Senior Product Pricing Analyst,Clickatell,Lagos,PostedPosted 30+ days ago
Analyst,"Analyst, West Africa",Control Risks,Lagos,EmployerActive 7 days ago
Analyst,"Analyst, Switching Ops",Flutterwave,Lekki,PostedPosted 1 day ago
Analyst,Commercial Data Analyst,TSL Metroline Limited,Lagos,EmployerActive 2 days ago
Analyst,Product Analyst - Fintech,M-KOPA,Lagos,PostedPosted 30+ days ago
Analyst,Process Optimalization Analyst,Nosagie Holdings,Benin City,EmployerActive 16 days ago
Analyst,Senior Business Analyst - Process Automation,Kuda Technologies Ltd,Lagos,EmployerActive 23 days ago
Analyst,Credit Analyst,M-KOPA,Lagos,PostedPosted 6 days ago
Analyst,Pipeline Conversion Analyst- Onitsha,Max Drive,Onitsha,PostedPosted 16 days ago
Analyst,OFFICE SALES ANALYST/ REPRESENTATIVE- Ilupeju lagos,West Africa Vocational Education (WAVE),Lagos,EmployerActive 5 days ago
Analyst,Quality Assurance/ Quality control Analyst (Engineers) PORT-HARCOURT,LEITUNG GATE LIMITED,Port Harcourt,EmployerActive 2 days ago
